"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"CORO1A",6.30569550266603e-11,-0.290885909207883,0.588,0.711,8.53665057150927e-07,"CORO1A"
"STX11",6.6364584742766e-11,-0.482797724842665,0.312,0.42,8.98443748247566e-07,"STX11"
"MAP3K1",7.43488995951485e-11,-0.639228238545986,0.128,0.218,1.00653540271912e-06,"MAP3K1"
"ELF1",7.83116609050393e-11,-0.349668853537495,0.545,0.659,1.06018326533242e-06,"ELF1"
"CDKN2D",7.92603982113242e-11,-0.953741349599877,0.06,0.125,1.07302727098491e-06,"CDKN2D"
"UCP2",8.76853245011226e-11,-0.348465351498587,0.478,0.596,1.1870839230962e-06,"UCP2"
"TMEM176B",9.77402528093836e-11,0.376492280019781,0.579,0.469,1.32320754253344e-06,"TMEM176B"
"HK2",1.07740474711024e-10,0.929449378731112,0.185,0.096,1.45859054663785e-06,"HK2"
"GLIPR1",1.27734647842225e-10,-0.323704023290664,0.489,0.627,1.72927166248805e-06,"GLIPR1"
"WAS",1.3271426036962e-10,-0.423858607674505,0.321,0.437,1.79668565688392e-06,"WAS"
"CXCL2",1.33410495813822e-10,-0.287857460482051,0.481,0.586,1.80611129232753e-06,"CXCL2"
"PLEKHG2",1.34343647840259e-10,-0.714360607640885,0.065,0.133,1.81874430446142e-06,"PLEKHG2"
"MERTK",1.44725477125445e-10,0.935124159673573,0.107,0.038,1.95929350932428e-06,"MERTK"
"ADAMDEC1",1.58025615278241e-10,1.14871211941102,0.107,0.039,2.13935077963683e-06,"ADAMDEC1"
"RILPL2",1.75598033629696e-10,-0.391150031398927,0.461,0.55,2.37724617927883e-06,"RILPL2"
"PTGS1",1.86933759541468e-10,0.739048858818132,0.186,0.098,2.53070923667239e-06,"PTGS1"
"REV3L",1.95312729203372e-10,-0.481064820522613,0.135,0.226,2.64414372795526e-06,"REV3L"
"IGSF6",1.99591951166196e-10,0.435343948301675,0.52,0.434,2.70207583488796e-06,"IGSF6"
"XIST",2.30776141376915e-10,0.398596422022445,0.437,0.308,3.12424740196068e-06,"XIST"
"TESC",2.34315170495775e-10,-0.658673523476755,0.099,0.178,3.1721587781718e-06,"TESC"
"ZNF467",2.62764066816215e-10,-0.846561856569617,0.047,0.104,3.55729993655792e-06,"ZNF467"
"ASGR1",2.6516212007925e-10,-0.481311381114694,0.186,0.288,3.58976478163289e-06,"ASGR1"
"TLN1",2.85747313279494e-10,-0.361951569956904,0.416,0.546,3.8684471271778e-06,"TLN1"
"CD302",2.87098865076453e-10,-0.467756263135386,0.305,0.413,3.88674443540503e-06,"CD302"
"ADI1",2.9822143006718e-10,-0.496179812501832,0.22,0.324,4.03732172024949e-06,"ADI1"
"MAF",3.15111495575638e-10,-0.4787288698463,0.143,0.237,4.26597942710299e-06,"MAF"
"STK38",3.17609350806249e-10,-1.00687315811899,0.047,0.104,4.299795391215e-06,"STK38"
"ATP6V1B2",3.35674599874932e-10,0.507369768831773,0.39,0.273,4.54436273310683e-06,"ATP6V1B2"
"SLC43A3",3.712878014705e-10,0.717413570077069,0.186,0.098,5.02649425630762e-06,"SLC43A3"
"CTSB",3.87915302763136e-10,0.261123226601256,0.814,0.721,5.25159736880734e-06,"CTSB"
"TRIM8",3.99269521052246e-10,-0.940842999436306,0.061,0.125,5.40531077600531e-06,"TRIM8"
"LGALS3BP",4.12766788016895e-10,0.690595821963088,0.2,0.108,5.58803677617272e-06,"LGALS3BP"
"IFIT2",4.37764817037665e-10,-0.760124934698955,0.066,0.131,5.92646009305591e-06,"IFIT2"
"SLC9A9",5.72299981706767e-10,-0.838830058132709,0.054,0.113,7.74779715234621e-06,"SLC9A9"
"PSMB8-AS1",6.33713241175828e-10,-0.604307556288494,0.145,0.233,8.57920985903836e-06,"PSMB8-AS1"
"C1QB",6.40280319495573e-10,0.377118912825411,0.388,0.255,8.66811496533107e-06,"C1QB"
"RGS18",7.83629244890614e-10,-0.454906216867713,0.204,0.309,1.06087727173291e-05,"RGS18"
"KLF3",8.68017902106112e-10,-0.580415330874094,0.153,0.243,1.17512263587125e-05,"KLF3"
"TCOF1",8.70368927886833e-10,-0.559141662025619,0.131,0.216,1.17830545457319e-05,"TCOF1"
"RGS10",8.78844029548765e-10,0.292484662499662,0.651,0.561,1.18977904720312e-05,"RGS10"
"GPSM3",8.85957903886565e-10,-0.302732494371498,0.513,0.62,1.19940981028163e-05,"GPSM3"
"MT1F",9.55049499965234e-10,0.682276981363188,0.136,0.06,1.29294601305293e-05,"MT1F"
"TMEM251",9.85426344273775e-10,0.794055483234533,0.175,0.092,1.33407018487784e-05,"TMEM251"
"TMEM176A",9.8985296083954e-10,0.470530542059441,0.454,0.349,1.34006293838457e-05,"TMEM176A"
"SAV1",1.00737163482969e-09,-0.698270675911266,0.069,0.135,1.36377971923243e-05,"SAV1"
"PGK1",1.08911985070595e-09,0.302657727715677,0.716,0.633,1.47445045388571e-05,"PGK1"
"PHLDA1",1.21515848348817e-09,0.568210069204876,0.305,0.2,1.64508155494628e-05,"PHLDA1"
"CXCL3",1.2985808944287e-09,-0.355414196425601,0.37,0.472,1.75801881487757e-05,"CXCL3"
"TRMT1",1.39374688428279e-09,-0.527138067788633,0.17,0.262,1.88685453194204e-05,"TRMT1"
"HMGA1",1.39440987575399e-09,0.603851434662056,0.334,0.231,1.88775208979575e-05,"HMGA1"
"DUSP6",1.52925649168412e-09,-0.393467852209906,0.295,0.404,2.07030743844196e-05,"DUSP6"
"FKBP5",1.55111880994611e-09,0.320324378892638,0.37,0.237,2.09990464490504e-05,"FKBP5"
"FBXL5",1.71076861496415e-09,-0.616994623998378,0.133,0.215,2.31603855093846e-05,"FBXL5"
"IL7R",1.76997211443406e-09,1.35306755699344,0.142,0.071,2.39618824852084e-05,"IL7R"
"TIPARP",1.83205448713908e-09,-0.56028643068767,0.187,0.278,2.48023536468889e-05,"TIPARP"
"HSPE1",1.91498855305679e-09,0.333865538045959,0.655,0.588,2.59251150312829e-05,"HSPE1"
"EVI2B",1.98854932590439e-09,-0.324383416686923,0.416,0.54,2.69209807740936e-05,"EVI2B"
"MBNL2",2.01412083736545e-09,-0.871390346750306,0.058,0.117,2.72671678962535e-05,"MBNL2"
"SAP30",2.10486781189742e-09,0.738407226604556,0.141,0.066,2.84957004374672e-05,"SAP30"
"CD44",2.11603561730784e-09,0.295665493499897,0.761,0.66,2.86468901871136e-05,"CD44"
"PHC2",2.2251384015125e-09,0.779005978851994,0.166,0.086,3.01239236796763e-05,"PHC2"
"MBP",2.24558159481676e-09,-0.45942795247303,0.229,0.334,3.04006836306293e-05,"MBP"
"APC",2.38333144672949e-09,-0.646298530427428,0.061,0.122,3.22655411258239e-05,"APC"
"MT2A",2.43024154401254e-09,0.318520432890105,0.617,0.463,3.29006100228418e-05,"MT2A"
"ATP1A1",2.52814341693352e-09,0.509743629889645,0.36,0.254,3.4226005578446e-05,"ATP1A1"
"ADA",2.72944596835216e-09,-0.685632633218516,0.075,0.14,3.69512395195515e-05,"ADA"
"TLR2",2.8366782155503e-09,0.499696050819973,0.345,0.23,3.840294968212e-05,"TLR2"
"ATP6AP1",2.96498446258585e-09,0.376937795341005,0.432,0.311,4.01399596544873e-05,"ATP6AP1"
"CCR1",3.05875098568838e-09,-0.451881491847606,0.18,0.274,4.14093708442493e-05,"CCR1"
"CD55",4.11190241936852e-09,-0.318401819736174,0.349,0.471,5.5666934953411e-05,"CD55"
